customer_id,gender,senior_citizen,partner,dependents,tenure_months,internet_service,contract,monthly_charges,total_charges,payment_method,paperless_billing,tech_support,device_protection,churn
CUST100000,Male,0,Yes,Yes,52,Fiber optic,Month-to-month,69.19,3649.55,Electronic check,No,Yes,Yes,No
CUST100001,Female,0,No,No,15,Fiber optic,Month-to-month,88.03,1228.06,Mailed check,Yes,No,No,No
CUST100002,Female,0,Yes,Yes,72,Fiber optic,Month-to-month,87.08,6331.82,Mailed check,No,Yes,No,No
CUST100003,Female,0,Yes,No,61,No,Month-to-month,67.76,4099.13,Electronic check,Yes,Yes,No internet,Yes
CUST100004,Female,0,Yes,No,21,DSL,Two year,53.27,1028.23,Electronic check,Yes,Yes,Yes,No
CUST100005,Male,0,Yes,No,24,DSL,One year,80.54,1943.91,Credit card,Yes,Yes,No,No
CUST100006,Male,0,Yes,No,3,Fiber optic,One year,73.96,149.67,Bank transfer,No,No,Yes,Yes
CUST100007,Male,0,No,No,22,DSL,One year,58.13,1186.36,Bank transfer,Yes,Yes,No,No
CUST100008,Female,0,Yes,No,53,Fiber optic,Month-to-month,50.94,2722.78,Bank transfer,No,Yes,Yes,No
CUST100009,Male,0,Yes,No,2,Fiber optic,Two year,82.26,197.75,Bank transfer,No,No,Yes,No
CUST100010,Female,0,Yes,Yes,30,DSL,Month-to-month,85.75,2543.27,Credit card,No,No,No internet,Yes
CUST100011,Female,0,No,No,38,Fiber optic,Month-to-month,63.0,2415.98,Bank transfer,Yes,No,No,No
CUST100012,Female,0,No,Yes,2,No,One year,57.5,206.33,Electronic check,No,Yes,Yes,No
CUST100013,Male,0,No,No,64,Fiber optic,Month-to-month,51.24,3345.93,Bank transfer,No,No,No,Yes
CUST100014,Female,1,Yes,No,60,No,One year,81.56,4827.51,Mailed check,No,Yes,No,No
CUST100015,Female,0,No,No,21,DSL,Month-to-month,51.9,1092.14,Bank transfer,No,Yes,Yes,Yes
CUST100016,Female,1,Yes,No,33,DSL,One year,128.03,4169.07,Mailed check,Yes,No,No,No
CUST100017,Male,0,No,No,58,Fiber optic,Month-to-month,61.74,3468.89,Credit card,Yes,No internet,No,No
CUST100018,Female,1,No,No,22,Fiber optic,Month-to-month,20.0,491.41,Bank transfer,No,No,Yes,No
CUST100019,Male,0,Yes,No,49,No,One year,71.25,3571.46,Electronic check,Yes,Yes,No internet,No
CUST100020,Male,1,Yes,Yes,59,Fiber optic,Month-to-month,70.17,4102.1,Electronic check,No,No internet,No,No
CUST100021,Female,1,Yes,No,42,DSL,Month-to-month,99.79,4209.97,Mailed check,No,Yes,No internet,Yes
CUST100022,Female,0,No,Yes,60,No,Month-to-month,79.2,4875.77,Electronic check,No,No internet,No,No
CUST100023,Male,1,No,Yes,15,Fiber optic,One year,51.15,849.25,Electronic check,No,No,No,No
CUST100024,Male,0,No,No,62,DSL,One year,64.84,3973.18,Mailed check,Yes,No,Yes,No
CUST100025,Male,0,No,Yes,62,DSL,Month-to-month,80.19,4965.41,Mailed check,No,No,No,No
CUST100026,Male,0,Yes,No,47,Fiber optic,Two year,20.0,883.35,Credit card,Yes,No internet,No,Yes
CUST100027,Female,1,No,Yes,62,Fiber optic,Two year,105.47,6557.48,Electronic check,Yes,No internet,Yes,No
CUST100028,Female,0,Yes,No,51,Fiber optic,One year,51.22,2615.46,Electronic check,No,No,No,No
CUST100029,Male,0,Yes,No,55,Fiber optic,One year,107.43,5816.42,Electronic check,Yes,No,Yes,Yes
CUST100030,Male,0,Yes,No,64,DSL,Month-to-month,81.81,5199.36,Mailed check,No,No,No,No
CUST100031,Male,1,Yes,Yes,3,Fiber optic,One year,87.74,98.02,Electronic check,Yes,No,No internet,Yes
CUST100032,Female,0,No,Yes,51,No,Month-to-month,100.74,5054.63,Bank transfer,No,No,No,No
CUST100033,Male,1,No,No,7,Fiber optic,Month-to-month,86.33,637.33,Electronic check,Yes,Yes,Yes,Yes
CUST100034,Male,0,Yes,No,21,DSL,Two year,88.82,1876.68,Bank transfer,No,Yes,No,Yes
CUST100035,Male,0,No,Yes,39,DSL,One year,67.89,2723.46,Credit card,No,No internet,No,No
CUST100036,Male,0,Yes,Yes,18,Fiber optic,Month-to-month,81.3,1467.62,Electronic check,No,No internet,No internet,No
CUST100037,Male,0,Yes,No,4,Fiber optic,Month-to-month,57.31,213.55,Mailed check,Yes,Yes,Yes,Yes
CUST100038,Male,0,Yes,No,60,DSL,One year,63.41,3953.23,Mailed check,No,Yes,No,No
CUST100039,Male,0,Yes,Yes,14,No,Month-to-month,121.12,1668.54,Credit card,Yes,No internet,Yes,Yes
CUST100040,Male,0,Yes,Yes,9,Fiber optic,Month-to-month,51.8,435.39,Mailed check,No,No,No,No
CUST100041,Female,0,Yes,No,53,Fiber optic,Month-to-month,75.86,4024.55,Bank transfer,Yes,No,No internet,No
